turn_on,turn_off
0.164739,0.121902
0.100373,0.053871
0.095053,0.047879
0.102758,0.054296
0.103118,0.050585
0.097475,0.048681
0.102445,0.052689
0.101965,0.052869
0.100092,0.051596
0.103268,0.054762
0.100206,0.055486
0.101719,0.054421
0.109951,0.062392
0.102728,0.053714
0.102711,0.053490
0.103048,0.054570
0.103387,0.055008
0.102712,0.050400
0.101491,0.053190
0.101509,0.054531
0.097455,0.049133
0.099999,0.054729
0.102123,0.054582
0.102911,0.054053
0.103547,0.054967
0.101383,0.052257
0.102181,0.045994
0.102897,0.054588
0.102817,0.050158
0.099163,0.048580
0.102956,0.053074
0.097338,0.047346
0.100172,0.053174
0.101274,0.051448
0.098980,0.048796
0.102137,0.047820
0.100793,0.051029
0.102481,0.053644
0.094887,0.054109
0.100465,0.050022
0.094826,0.054023
0.102101,0.053952
0.102377,0.050189
0.094164,0.045945
0.101295,0.053341
0.098166,0.053457
0.096279,0.048941
0.102458,0.052921
0.097334,0.047962
0.102224,0.054569
0.100939,0.049868
0.098668,0.047714
0.097630,0.053818
0.098995,0.048863
0.101934,0.053084
0.102682,0.046699
0.100040,0.050583
0.102607,0.046434
0.102926,0.052298
0.100680,0.052534
0.102581,0.053557
0.102534,0.054319
0.096690,0.049188
0.101385,0.053911
0.102301,0.053885
0.097309,0.053051
0.100655,0.054516
0.102669,0.048507
0.102513,0.053807
0.103672,0.054269
0.101934,0.052390
0.102027,0.051340
0.103046,0.054801
0.099884,0.051064
0.099776,0.048580
0.102640,0.051383
0.102588,0.052716
0.099332,0.054638
0.100811,0.050876
0.103305,0.049649
0.101034,0.054517
0.100076,0.048974
0.097949,0.044917
0.102200,0.053751
0.100213,0.047283
0.102042,0.049628
0.101934,0.054080
0.098757,0.049296
0.100233,0.051967
0.102943,0.051817
0.099554,0.049157
0.095680,0.054216
0.100957,0.050997
0.102334,0.054839
0.097894,0.054974
0.101783,0.049750
0.109214,0.059070
0.098569,0.051390
0.098646,0.054847
0.198247,0.146644
0.102241,0.045561
0.096581,0.054268
0.101525,0.052100
0.095340,0.044332
0.101987,0.054006
0.098392,0.048046
0.099992,0.054527
0.102463,0.052357
0.096801,0.050465
0.094136,0.053820
0.102776,0.052605
0.095676,0.053525
0.095178,0.054533
0.102045,0.053200
0.096672,0.054188
0.102780,0.054904
0.101122,0.049877
0.095797,0.053706
0.102793,0.054565
0.097345,0.048183
0.092870,0.049101
0.102912,0.053751
0.096431,0.051668
0.102469,0.054743
0.101713,0.053764
0.099326,0.050575
0.102881,0.054549
0.103056,0.054449
0.100424,0.049929
0.095301,0.053751
0.102920,0.052098
0.096653,0.052350
0.102941,0.054670
0.101366,0.050395
0.094872,0.053866
0.103079,0.054505
0.102166,0.049549
0.099586,0.047536
0.102161,0.051985
0.102527,0.048293
0.099132,0.054623
0.101832,0.052307
0.094997,0.047190
0.102075,0.054506
0.101972,0.049845
0.103258,0.052245
0.102604,0.054694
0.101588,0.049647
0.097610,0.045891
0.102839,0.054632
0.100923,0.049811
0.093175,0.045239
0.101624,0.052556
0.098484,0.048625
0.097835,0.054135
0.100632,0.054015
0.096727,0.047675
0.102408,0.054441
0.102542,0.054145
0.098413,0.048515
0.102783,0.054473
0.099543,0.050033
0.101644,0.052308
0.195857,0.147199
0.099465,0.047989
0.097846,0.048815
0.102580,0.051553
0.097500,0.054301
0.102714,0.054217
0.101924,0.049387
0.095712,0.054661
0.199721,0.150442
0.100877,0.053767
0.095464,0.054647
0.102704,0.053032
0.102993,0.054181
0.099003,0.049651
0.102840,0.053787
0.103264,0.054217
0.108274,0.057993
0.097157,0.045582
0.102252,0.053694
0.103409,0.047472
0.093838,0.053831
0.102250,0.052432
0.099487,0.049933
0.095331,0.054071
0.102556,0.053490
0.099521,0.052503
0.102537,0.054003
0.100023,0.048893
0.103197,0.055081
0.096741,0.054657
0.101080,0.054318
0.097643,0.054519
0.103443,0.054709
0.099211,0.051875
0.096043,0.052302
0.102407,0.052320
0.100892,0.050212
0.103457,0.050327
0.101545,0.052923
0.096036,0.047326
0.192918,0.144922
0.099720,0.053594
0.100454,0.054364
0.098054,0.054531
0.102575,0.049927
0.102891,0.053973
0.101389,0.051632
0.100955,0.048260
0.101938,0.050215
0.102204,0.053409
0.100849,0.051456
0.098321,0.055021
0.101843,0.051409
0.098451,0.052785
0.098971,0.054839
0.099347,0.051256
0.101337,0.051921
0.102679,0.050581
0.102253,0.054671
0.102518,0.050806
0.102885,0.054196
0.100455,0.050069
0.099982,0.050403
0.101948,0.052070
