turn_on,turn_off
0.121749,0.123908
0.126667,0.134828
0.116470,0.126084
0.120312,0.126794
0.122661,0.123397
0.122659,0.124231
0.122145,0.127095
0.122624,0.124157
0.122150,0.120163
0.122244,0.126405
0.118996,0.126986
0.114792,0.121281
0.119889,0.117850
0.121283,0.124033
0.121312,0.127612
0.119310,0.126220
0.122339,0.123206
0.122607,0.126507
0.120320,0.127035
0.123207,0.034383
0.120643,0.121619
0.117493,0.120805
0.122779,0.123595
0.119451,0.125811
0.121428,0.121749
0.116570,0.123352
0.115970,0.115420
0.118904,0.119882
0.115746,0.127002
0.116534,0.120394
0.122204,0.124064
0.113625,0.127290
0.115589,0.126102
0.118570,0.127233
0.122639,0.123960
0.118111,0.127151
0.115445,0.122810
0.122721,0.121711
0.126073,0.131579
0.120057,0.127116
0.121828,0.127096
0.122345,0.125197
0.122090,0.121556
0.121581,0.125907
0.122184,0.126645
0.121090,0.121437
0.118847,0.122597
0.114943,0.123535
0.121029,0.126287
0.116164,0.126332
0.120699,0.127169
0.121818,0.124128
0.115101,0.127850
0.123131,0.128124
0.120238,0.124983
0.121698,0.125558
0.128679,0.131061
0.121214,0.127090
0.122447,0.127443
0.121196,0.121803
0.122443,0.122213
0.114947,0.126588
0.117250,0.124506
0.122264,0.126874
0.122819,0.126833
0.118999,0.127457
0.120851,0.124696
0.120172,0.124644
0.115184,0.116197
0.118120,0.127716
0.123039,0.126895
0.120076,0.124583
0.121432,0.125957
0.115228,0.126914
0.117960,0.129081
0.127199,0.133428
0.118674,0.119534
0.122196,0.124885
0.120855,0.126579
0.118184,0.119123
0.117614,0.126553
0.121654,0.126453
0.118112,0.126392
0.118509,0.127222
0.117451,0.123342
0.122370,0.126498
0.114778,0.126957
0.119950,0.120908
0.118593,0.120703
0.112847,0.117620
0.120987,0.125762
0.115397,0.126927
0.120065,0.122004
0.124035,0.134684
0.122145,0.127017
0.119220,0.126708
0.123351,0.123752
0.121741,0.121272
0.122909,0.121837
0.131685,0.126848
0.119444,0.126110
0.119353,0.127704
0.121843,0.127297
0.122437,0.126267
0.117765,0.122724
0.119623,0.124731
0.123057,0.127293
0.116174,0.126974
0.123338,0.127659
0.122027,0.122588
0.123022,0.127495
0.118921,0.127163
0.129472,0.134824
0.117845,0.128166
0.121506,0.127099
0.121776,0.126666
0.119414,0.127356
0.116046,0.127681
0.118294,0.127737
0.121842,0.119402
0.118598,0.126688
0.119983,0.125535
0.121953,0.121858
0.122549,0.124598
0.118393,0.124819
0.116074,0.127470
0.120333,0.126727
0.120627,0.119156
0.123000,0.127436
0.121044,0.121273
0.129160,0.134231
0.117904,0.127203
0.119841,0.118472
0.121636,0.123756
0.115943,0.119472
0.122663,0.118883
0.118898,0.122337
0.116110,0.126452
0.121769,0.125947
0.117868,0.127693
0.119432,0.126867
0.122561,0.127297
0.122613,0.121720
0.121918,0.124540
0.122467,0.121004
0.117791,0.126401
0.122559,0.126731
0.121176,0.118546
0.115804,0.118484
0.126761,0.129096
0.116320,0.120401
0.116652,0.128159
0.115472,0.123759
0.121800,0.121584
0.119454,0.126809
0.117847,0.127859
0.115483,0.123894
0.122460,0.127062
0.123154,0.127790
0.122637,0.127762
0.121051,0.126077
0.122543,0.123879
0.119647,0.127656
0.122828,0.127293
0.121604,0.126552
0.122433,0.122896
0.114270,0.126545
0.131194,0.131918
0.116950,0.126919
0.118870,0.124431
0.121935,0.122026
0.116060,0.123250
0.120301,0.126560
0.117416,0.125233
0.122689,0.121414
0.119071,0.126847
0.115182,0.118132
0.117024,0.127619
0.120436,0.121932
0.114102,0.125412
0.117514,0.126740
0.122697,0.126966
0.122240,0.127342
0.118594,0.127255
0.118089,0.123890
0.120269,0.124902
0.129253,0.130865
0.121136,0.120329
0.122820,0.126682
0.120688,0.126812
0.121999,0.126576
0.122941,0.127484
0.117941,0.124379
0.122986,0.127840
0.119073,0.127165
0.121170,0.126024
0.118441,0.125654
0.122439,0.127640
0.122891,0.127474
0.117317,0.122229
0.115968,0.127320
0.122391,0.122388
0.118303,0.126614
0.122574,0.124611
0.129268,0.130917
0.122082,0.126395
0.120202,0.127336
0.116404,0.127718
0.119683,0.122232
0.122274,0.124221
0.116736,0.127122
0.117358,0.126488
0.122588,0.126172
0.122183,0.127370
